nombre_atributo,descripcion,tipo_dato,formato_o_unidad,valores_posibles,codigo_valores_faltantes
id_anuncio,Identificador único de la publicación asignado por el portal inmobiliario,Entero / Cadena,Cadena numérica de ID,Números enteros positivos (ej. '150779893'),NaN
fuente,Portal inmobiliario de origen de la publicación,Categórico / Cadena,Texto,"'adondevivir', 'urbania', 'nexo_inmobiliario'",NaN
tipo_operacion,Modalidad de la transacción inmobiliaria ofrecida,Categórico / Cadena,Texto,"'venta' (Compra/Venta), 'alquiler' (Renta mensual)",NaN
url,Enlace web directo a la ficha del departamento en el portal,Cadena,URL HTTPS,Enlaces web válidos (ej. 'https://urbania.pe/inmueble/...'),NaN
fecha_scraping,Marca de tiempo de extracción de la información,Fecha y Hora (DateTime),YYYY-MM-DD HH:MM:SS (UTC-5),Cadenas de fecha válidas (ej. '2026-09-02 00:41:35'),NaN
titulo,Título o titular publicitario del anuncio,Cadena de texto,Texto libre (una sola línea),Texto alfanumérico descriptivo del inmueble,NaN
precio,Precio nominal publicado por el propietario o agencia,Flotante (Numérico),Monto en moneda original,Números reales positivos,NaN
moneda,Moneda en la que fue publicado el precio original,Categórico / Cadena,Código ISO 4217,"'PEN' (Soles peruanos), 'USD' (Dólares americanos)",NaN
precio_soles,Precio estandarizado y convertido a Soles (PEN) con el tipo de cambio oficial,Flotante (Numérico),PEN (Soles),"Venta: [100,000 - 30,000,000]; Alquiler: [1,000 - 30,000]",NaN
area_total,Superficie total ocupada del departamento,Flotante (Numérico),Metros cuadrados (m²),[20.0 - 1000.0] m²,NaN
area_construida,Superficie techada / construida del departamento,Flotante (Numérico),Metros cuadrados (m²),[20.0 - 1000.0] m²,NaN
precio_m2,Precio en soles por metro cuadrado (precio_soles / area_total),Flotante (Numérico),PEN / m²,"Venta: [2,000 - 25,000]; Alquiler: [15 - 150]",NaN
distrito,Distrito normalizado de Lima Metropolitana o Callao,Categórico / Cadena,Nombre en Proper Case,"'Miraflores', 'San Isidro', 'Santiago de Surco', 'San Borja', 'Barranco', etc.",NaN
direccion,"Calle, avenida, urbanización o referencia reportada",Cadena de texto,Texto libre,Dirección física o referencia urbana,NaN
dormitorios,Número de habitaciones o dormitorios del departamento,Flotante (Numérico),Conteo / Cantidad,Enteros de [1.0 - 8.0],NaN
banos,Número de baños completos en el departamento,Flotante (Numérico),Conteo / Cantidad,Enteros de [1.0 - 8.0],NaN
estacionamientos,Número de cocheras o espacios de estacionamiento privados,Flotante (Numérico),Conteo / Cantidad,Enteros de [0.0 - 8.0],NaN
piso,Número de piso en el que está ubicado el departamento,Flotante (Numérico),Número de piso,Enteros de [1.0 - 50.0],NaN
antiguedad,Años de antigüedad desde la construcción (0 = Estreno),Flotante (Numérico),Años,Enteros de [0.0 - 80.0],NaN
mantenimiento,Cuota mensual de mantenimiento del edificio en Soles,Flotante (Numérico),PEN (Soles / mes),Montos positivos [50.0 - 8000.0],NaN
estado_inmueble,Estado de entrega o fase del proyecto inmobiliario,Categórico / Cadena,Texto,"'En planos', 'En construcción', 'Entrega inmediata', 'Segundo uso'",NaN
caracteristicas,Lista en texto plano de etiquetas provistas por el portal,Cadena de texto,Lista separada por comas,"Texto descriptivo (ej. 'Gimnasio, Piscina, Parrilla')",NaN
nombre_proyecto,Nombre comercial del edificio o desarrollo inmobiliario,Cadena de texto,Texto,"Nombres de proyectos (ej. 'Costa Living', 'Beyond')",NaN
inmobiliaria,"Nombre de la inmobiliaria, constructora, agente o dueño",Cadena de texto,Texto,"Nombres de agencias (ej. 'RE/MAX PRO', 'CENTURY 21', 'Büro')",NaN
descripcion,Texto completo publicitario detallando acabados y distribución,Texto largo,Cadena saneada sin saltos de línea,Texto libre explicativo,NaN
latitud,Coordenada geográfica de latitud GPS,Flotante (Numérico),Grados decimales (WGS84),[-12.50 a -11.70] para Lima,NaN
longitud,Coordenada geográfica de longitud GPS,Flotante (Numérico),Grados decimales (WGS84),[-77.20 a -76.70] para Lima,NaN
ascensor,Variable binaria: indica si el edificio cuenta con ascensor,Entero Binario,0 o 1,"1 (Sí cuenta), 0 (No mencionado / No cuenta)",Ninguno (Siempre 0 o 1)
balcon,Variable binaria: indica si dispone de balcón,Entero Binario,0 o 1,"1 (Sí cuenta), 0 (No mencionado / No cuenta)",Ninguno (Siempre 0 o 1)
terraza,Variable binaria: indica si dispone de terraza privada o azotea,Entero Binario,0 o 1,"1 (Sí cuenta), 0 (No mencionado / No cuenta)",Ninguno (Siempre 0 o 1)
piscina,Variable binaria: indica si el edificio tiene piscina,Entero Binario,0 o 1,"1 (Sí cuenta), 0 (No mencionado / No cuenta)",Ninguno (Siempre 0 o 1)
gimnasio,Variable binaria: indica si el edificio tiene gimnasio equipado,Entero Binario,0 o 1,"1 (Sí cuenta), 0 (No mencionado / No cuenta)",Ninguno (Siempre 0 o 1)
cochera,Variable binaria: indica si incluye cochera o estacionamiento,Entero Binario,0 o 1,"1 (Sí cuenta), 0 (No mencionado / No cuenta)",Ninguno (Siempre 0 o 1)
deposito,Variable binaria: indica si incluye cuarto de depósito o almacén,Entero Binario,0 o 1,"1 (Sí cuenta), 0 (No mencionado / No cuenta)",Ninguno (Siempre 0 o 1)
vista_al_mar,"Variable binaria: indica vista al mar, malecón o Costa Verde",Entero Binario,0 o 1,"1 (Sí cuenta), 0 (No mencionado / No cuenta)",Ninguno (Siempre 0 o 1)
parrilla,Variable binaria: indica área de parrillas / zona BBQ,Entero Binario,0 o 1,"1 (Sí cuenta), 0 (No mencionado / No cuenta)",Ninguno (Siempre 0 o 1)
